ogc_fid,zone_name,param_name,param_value
4136732,Zone1_FrontPerimeter,hvac_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone1_FrontPerimeter,heating_setpoint_schedule,ZONE HEATING SETPOINTS
4136732,Zone1_FrontPerimeter,cooling_setpoint_schedule,ZONE COOLING SETPOINTS
4136732,Zone1_FrontPerimeter,thermostat_name,Zone1_FrontPerimeter CONTROLS
4136732,Zone1_FrontPerimeter,thermostat_dualsetpoint_name,Zone1_FrontPerimeter SETPOINTS
4136732,Zone1_RightPerimeter,hvac_object_name,Zone1_RightPerimeter Ideal Loads
4136732,Zone1_RightPerimeter,hvac_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone1_RightPerimeter,heating_setpoint_schedule,ZONE HEATING SETPOINTS
4136732,Zone1_RightPerimeter,cooling_setpoint_schedule,ZONE COOLING SETPOINTS
4136732,Zone1_RightPerimeter,thermostat_name,Zone1_RightPerimeter CONTROLS
4136732,Zone1_RightPerimeter,thermostat_dualsetpoint_name,Zone1_RightPerimeter SETPOINTS
4136732,Zone1_RearPerimeter,hvac_object_name,Zone1_RearPerimeter Ideal Loads
4136732,Zone1_RearPerimeter,hvac_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone1_RearPerimeter,heating_setpoint_schedule,ZONE HEATING SETPOINTS
4136732,Zone1_RearPerimeter,cooling_setpoint_schedule,ZONE COOLING SETPOINTS
4136732,Zone1_RearPerimeter,thermostat_name,Zone1_RearPerimeter CONTROLS
4136732,Zone1_RearPerimeter,thermostat_dualsetpoint_name,Zone1_RearPerimeter SETPOINTS
4136732,Zone1_LeftPerimeter,hvac_object_name,Zone1_LeftPerimeter Ideal Loads
4136732,Zone1_LeftPerimeter,hvac_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone1_LeftPerimeter,heating_setpoint_schedule,ZONE HEATING SETPOINTS
4136732,Zone1_LeftPerimeter,cooling_setpoint_schedule,ZONE COOLING SETPOINTS
4136732,Zone1_LeftPerimeter,thermostat_name,Zone1_LeftPerimeter CONTROLS
4136732,Zone1_LeftPerimeter,thermostat_dualsetpoint_name,Zone1_LeftPerimeter SETPOINTS
4136732,Zone1_Core,hvac_object_name,Zone1_Core Ideal Loads
4136732,Zone1_Core,hvac_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone1_Core,heating_setpoint_schedule,ZONE HEATING SETPOINTS
4136732,Zone1_Core,cooling_setpoint_schedule,ZONE COOLING SETPOINTS
4136732,Zone1_Core,thermostat_name,Zone1_Core CONTROLS
4136732,Zone1_Core,thermostat_dualsetpoint_name,Zone1_Core SETPOINTS
4136732,Zone2_FrontPerimeter,hvac_object_name,Zone2_FrontPerimeter Ideal Loads
4136732,Zone2_FrontPerimeter,hvac_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone2_FrontPerimeter,heating_setpoint_schedule,ZONE HEATING SETPOINTS
4136732,Zone2_FrontPerimeter,cooling_setpoint_schedule,ZONE COOLING SETPOINTS
4136732,Zone2_FrontPerimeter,thermostat_name,Zone2_FrontPerimeter CONTROLS
4136732,Zone2_FrontPerimeter,thermostat_dualsetpoint_name,Zone2_FrontPerimeter SETPOINTS
4136732,Zone2_RightPerimeter,hvac_object_name,Zone2_RightPerimeter Ideal Loads
4136732,Zone2_RightPerimeter,hvac_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone2_RightPerimeter,heating_setpoint_schedule,ZONE HEATING SETPOINTS
4136732,Zone2_RightPerimeter,cooling_setpoint_schedule,ZONE COOLING SETPOINTS
4136732,Zone2_RightPerimeter,thermostat_name,Zone2_RightPerimeter CONTROLS
4136732,Zone2_RightPerimeter,thermostat_dualsetpoint_name,Zone2_RightPerimeter SETPOINTS
4136732,Zone2_RearPerimeter,hvac_object_name,Zone2_RearPerimeter Ideal Loads
4136732,Zone2_RearPerimeter,hvac_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone2_RearPerimeter,heating_setpoint_schedule,ZONE HEATING SETPOINTS
4136732,Zone2_RearPerimeter,cooling_setpoint_schedule,ZONE COOLING SETPOINTS
4136732,Zone2_RearPerimeter,thermostat_name,Zone2_RearPerimeter CONTROLS
4136732,Zone2_RearPerimeter,thermostat_dualsetpoint_name,Zone2_RearPerimeter SETPOINTS
4136732,Zone2_LeftPerimeter,hvac_object_name,Zone2_LeftPerimeter Ideal Loads
4136732,Zone2_LeftPerimeter,hvac_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone2_LeftPerimeter,heating_setpoint_schedule,ZONE HEATING SETPOINTS
4136732,Zone2_LeftPerimeter,cooling_setpoint_schedule,ZONE COOLING SETPOINTS
4136732,Zone2_LeftPerimeter,thermostat_name,Zone2_LeftPerimeter CONTROLS
4136732,Zone2_LeftPerimeter,thermostat_dualsetpoint_name,Zone2_LeftPerimeter SETPOINTS
4136732,Zone2_Core,hvac_object_name,Zone2_Core Ideal Loads
4136732,Zone2_Core,hvac_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone2_Core,heating_setpoint_schedule,ZONE HEATING SETPOINTS
4136732,Zone2_Core,cooling_setpoint_schedule,ZONE COOLING SETPOINTS
4136732,Zone2_Core,thermostat_name,Zone2_Core CONTROLS
4136732,Zone2_Core,thermostat_dualsetpoint_name,Zone2_Core SETPOINTS
